CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,year,net_income_avg,net_income_avg_household,gini,p80_p20
0800101008,08001,008,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2018,14169,39549,26.4,2.4
0800101008,08001,008,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2017,14062,39196,26.5,2.2
0800101008,08001,008,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2016,13924,38461,26.8,2.2
0800101008,08001,008,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2015,13641,36672,26.9,2.5
0800201001,08002,001,01,002,08,09,0800201,08002,Barcelona,Cataluña,ES,5,1,1,Aguilar de Segarra,2018,13707,40556,25.4,2.1
0800201001,08002,001,01,002,08,09,0800201,08002,Barcelona,Cataluña,ES,5,1,1,Aguilar de Segarra,2017,14230,40762,24.8,2
0800201001,08002,001,01,002,08,09,0800201,08002,Barcelona,Cataluña,ES,5,1,1,Aguilar de Segarra,2016,14396,38635,29.3,2
0800201001,08002,001,01,002,08,09,0800201,08002,Barcelona,Cataluña,ES,5,1,1,Aguilar de Segarra,2015,13097,35488,26.1,2.1
0800602003,08006,003,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2018,15392,39675,34.1,2.9
0800602003,08006,003,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2017,14408,37397,34.9,3.1
0800602003,08006,003,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2016,14060,37315,36.6,3.3
0800602003,08006,003,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2015,13743,36494,36.6,3.3
0800902001,08009,001,02,009,08,09,0800902,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2018,12704,35350,27.7,2.6
0800902001,08009,001,02,009,08,09,0800902,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2017,12465,32925,28.9,2.4
0800902001,08009,001,02,009,08,09,0800902,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2016,11994,31811,30.3,2.4
0800902001,08009,001,02,009,08,09,0800902,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2015,11774,31228,30.6,2.6
0800101004,08001,004,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2018,14922,40566,25.5,2.1
0800101004,08001,004,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2017,14263,38362,25.2,2
0800101004,08001,004,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2016,14051,38130,26.7,2.2
0800101004,08001,004,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2015,13208,35600,26.7,2.4
